metric,value
input_sequence_rows_total,563
consensus_tier::Tier_A,76
consensus_tier::Tier_B,48
consensus_tier::Tier_C,219
consensus_tier::Tier_X,220
highconf_union_rows,124
stability_flag::cross_source_consistent,76
stability_flag::within_range_consistent,48
stability_flag::singleton,219
stability_flag::conflicting,206
stability_flag::unknown,14
cross_source_overlap_yes,227
cross_source_overlap_no,336
Tier_A::length::2,43
Tier_A::length::3,33
Tier_B::length::2,4
Tier_B::length::3,44
Tier_C::length::2,46
Tier_C::length::3,173
Tier_X::length::2,78
Tier_X::length::3,142
spread_bucket::gt_2_le_5,23
spread_bucket::le_2,271
spread_bucket::gt_5_le_10,12
spread_bucket::missing,51
spread_bucket::gt_100,146
spread_bucket::gt_10_le_100,60
